city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Chivilcoy,-34.9000,-60.0167,Argentina,AR,Buenos Aires,minor,54514,32924
Mercedes,-34.6500,-59.4333,Argentina,AR,Buenos Aires,minor,52949,43868
Cruz del Eje,-30.7333,-64.8000,Argentina,AR,Córdoba,minor,52172,52172
Villaguay,-31.8500,-59.0167,Argentina,AR,Entre Ríos,minor,49445,49445
Libertador General San Martín,-23.8000,-64.7833,Argentina,AR,Jujuy,minor,49267,45851
Alta Gracia,-31.6667,-64.4333,Argentina,AR,Córdoba,minor,48140,48140
Villa Constitución,-33.2333,-60.3333,Argentina,AR,Santa Fe,minor,47374,47374
Tres Arroyos,-38.3667,-60.2667,Argentina,AR,Buenos Aires,minor,47136,22411
Pinamar,-37.1000,-56.8500,Argentina,AR,Buenos Aires,minor,45000,45000
San Isidro,-34.4667,-58.5167,Argentina,AR,Buenos Aires,minor,43595,43595
Esperanza,-31.4167,-60.9333,Argentina,AR,Santa Fe,minor,43300,43300
Gualeguay,-33.1500,-59.3167,Argentina,AR,Entre Ríos,minor,43009,43009
Balcarce,-37.8464,-58.2556,Argentina,AR,Buenos Aires,minor,38823,38823
Esquel,-42.9000,-71.3167,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",minor,36687,36687
Nueve de Julio,-35.4500,-60.8833,Argentina,AR,Buenos Aires,minor,36494,36494
Casilda,-33.0442,-61.1681,Argentina,AR,Santa Fe,minor,35058,35058
Chacabuco,-34.6500,-60.4900,Argentina,AR,Buenos Aires,minor,34587,18703
Bell Ville,-32.6333,-62.6833,Argentina,AR,Córdoba,minor,33835,33835
Chilecito,-29.1667,-67.5000,Argentina,AR,La Rioja,minor,33724,33724
Bragado,-35.1167,-60.5000,Argentina,AR,Buenos Aires,minor,33222,33222
Zapala,-38.9028,-70.0650,Argentina,AR,Neuquén,minor,32097,32097
Rawson,-43.3000,-65.1000,Argentina,AR,Chubut,admin,31787,31787
Jesús María,-30.9817,-64.0942,Argentina,AR,Córdoba,minor,31602,31602
Río Grande,-53.7914,-67.6990,Argentina,AR,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",minor,31095,31095
Mercedes,-29.2000,-58.0833,Argentina,AR,Corrientes,minor,30649,15096
Victoria,-32.6167,-60.1667,Argentina,AR,Entre Ríos,minor,30623,30623
Villa Ángela,-27.5833,-60.7167,Argentina,AR,Chaco,minor,30051,30051
Cañada de Gómez,-32.8167,-61.4000,Argentina,AR,Santa Fe,minor,29205,29205
Baradero,-33.8000,-59.5167,Argentina,AR,Buenos Aires,minor,28537,28537
San Martín de los Andes,-40.1667,-71.3500,Argentina,AR,Neuquén,minor,27956,27956
Marcos Juárez,-32.7000,-62.1000,Argentina,AR,Córdoba,minor,27004,27004
Dolores,-36.3300,-57.6900,Argentina,AR,Buenos Aires,minor,25190,17983
Colón,-32.2241,-58.1419,Argentina,AR,Entre Ríos,minor,24835,24835
Lincoln,-34.8500,-61.5167,Argentina,AR,Buenos Aires,minor,24798,15050
Avellaneda,-34.6625,-58.3678,Argentina,AR,Buenos Aires,minor,24313,24313
Coronel Suárez,-37.4547,-61.9334,Argentina,AR,Buenos Aires,minor,23621,23621
Veinticinco de Mayo,-35.4167,-60.1667,Argentina,AR,Buenos Aires,minor,23408,23408
Tunuyán,-33.5667,-69.0167,Argentina,AR,Mendoza,minor,22834,22834
Deán Funes,-30.4333,-64.3500,Argentina,AR,Córdoba,minor,21518,21518
El Calafate,-50.3395,-72.2649,Argentina,AR,Santa Cruz,minor,21132,21132
Chascomús,-35.5750,-58.0089,Argentina,AR,Buenos Aires,minor,21054,21054
Laboulaye,-34.1267,-63.3911,Argentina,AR,Córdoba,minor,20534,20534
General Martín Miguel de Güemes,-24.6667,-65.0500,Argentina,AR,Salta,minor,19828,19828
Charata,-27.2163,-61.2000,Argentina,AR,Chaco,minor,18297,18297
Lobos,-35.1864,-59.0961,Argentina,AR,Buenos Aires,minor,18278,18278
General Juan Madariaga,-37.0167,-57.1333,Argentina,AR,Buenos Aires,minor,18089,18089
Veinticinco de Mayo,-37.8000,-67.6833,Argentina,AR,La Pampa,minor,17430,17430
Eldorado,-26.4000,-54.6333,Argentina,AR,Misiones,minor,17365,17365
San Antonio Oeste,-40.7333,-64.9500,Argentina,AR,Río Negro,minor,16265,16265
Puerto Deseado,-47.7500,-65.9167,Argentina,AR,Santa Cruz,minor,14183,14183
Añatuya,-28.4667,-62.8333,Argentina,AR,Santiago del Estero,minor,14133,14133
La Quiaca,-22.1056,-65.6000,Argentina,AR,Jujuy,minor,13761,13761
Frías,-28.6496,-65.1500,Argentina,AR,Santiago del Estero,minor,13594,13594
Joaquín V. González,-25.0833,-64.1834,Argentina,AR,Salta,minor,13376,13376
Malargüe,-35.4745,-69.5853,Argentina,AR,Mendoza,minor,11847,11847
Cafayate,-26.0700,-65.9800,Argentina,AR,Salta,minor,11785,7171
Coronel Dorrego,-38.7187,-61.2873,Argentina,AR,Buenos Aires,minor,11510,11510
Cerrillos,-24.8996,-65.4833,Argentina,AR,Salta,minor,11498,11498
Monte Quemado,-25.7996,-62.8666,Argentina,AR,Santiago del Estero,minor,11387,11387
Humahuaca,-23.2054,-65.3505,Argentina,AR,Jujuy,minor,11369,11369
Belén,-27.6496,-67.0333,Argentina,AR,Catamarca,minor,11359,11359
Benito Juárez,-37.6655,-59.8000,Argentina,AR,Buenos Aires,minor,10609,10609
Choele Choel,-39.2858,-65.6542,Argentina,AR,Río Negro,minor,10146,10146
Vera,-29.4662,-60.2166,Argentina,AR,Santa Fe,minor,9979,9979
San Justo,-30.7829,-60.5833,Argentina,AR,Santa Fe,minor,9607,9607
Castelli,-25.9500,-60.6167,Argentina,AR,Chaco,minor,9421,9421
Chamical,-30.3496,-66.3167,Argentina,AR,La Rioja,minor,8989,8989
Chos Malal,-37.3830,-70.2666,Argentina,AR,Neuquén,minor,8556,8556
Laprida,-37.5333,-60.8167,Argentina,AR,Buenos Aires,minor,8178,8178
Carhué,-37.1829,-62.7333,Argentina,AR,Buenos Aires,minor,7190,7190
Rinconada,-22.4403,-66.1672,Argentina,AR,Jujuy,minor,6692,5727
Ingeniero Guillermo N. Juárez,-23.9000,-61.8500,Argentina,AR,Formosa,minor,6453,6453
Chepes,-31.3500,-66.6000,Argentina,AR,La Rioja,minor,6020,6020
San Antonio de los Cobres,-24.2256,-66.3192,Argentina,AR,Salta,minor,5482,5482
Sarmiento,-45.6000,-69.0833,Argentina,AR,Chubut,minor,5185,5185
Perito Moreno,-46.5900,-70.9297,Argentina,AR,Santa Cruz,minor,4617,4617
Aluminé,-39.2369,-70.9197,Argentina,AR,Neuquén,minor,4591,4591
Abra Pampa,-22.7167,-65.7000,Argentina,AR,Jujuy,minor,4480,4480
Victorica,-36.2163,-65.4500,Argentina,AR,La Pampa,minor,4458,4458
La Paz,-33.4661,-67.5500,Argentina,AR,Mendoza,minor,4400,4400
Comandante Fontana,-25.3333,-59.6833,Argentina,AR,Formosa,minor,4277,4277
General Conesa,-40.1000,-64.4333,Argentina,AR,Río Negro,minor,2958,2958
Pampa del Infierno,-26.5167,-61.1667,Argentina,AR,Chaco,minor,2921,2921
Chumbicha,-28.8666,-66.2333,Argentina,AR,Catamarca,minor,2572,2572
Gobernador Gregores,-48.7666,-70.2500,Argentina,AR,Santa Cruz,minor,2519,2519
San Julián,-49.3000,-67.7167,Argentina,AR,Santa Cruz,minor,2347,2347
José de San Martín,-44.0167,-70.4667,Argentina,AR,Chubut,minor,1612,1612
Trancas,-26.2167,-65.2833,Argentina,AR,Tucumán,minor,1599,1599
Alto Río Senguer,-45.0419,-70.8234,Argentina,AR,Chubut,minor,1570,1570
Sierra Colorada,-40.5829,-67.8000,Argentina,AR,Río Negro,minor,1522,1522
El Huecú,-37.6449,-70.5812,Argentina,AR,Neuquén,minor,1391,1391
Paso de Indios,-43.9000,-69.0667,Argentina,AR,Chubut,minor,1264,1264
Tecka,-43.4926,-70.8108,Argentina,AR,Chubut,minor,1237,1237
Las Lajas,-38.5163,-70.3666,Argentina,AR,Neuquén,minor,1218,1218
Susques,-23.4006,-66.3672,Argentina,AR,Jujuy,minor,1093,1093
Las Coloradas,-39.5500,-70.5833,Argentina,AR,Neuquén,minor,873,873
Rodeo,-30.2156,-69.1400,Argentina,AR,San Juan,minor,701,701
Gastre,-42.2667,-69.2167,Argentina,AR,Chubut,minor,602,602
Tinogasta,-28.0666,-67.5666,Argentina,AR,Catamarca,minor,587,587
Telsen,-42.3833,-66.9500,Argentina,AR,Chubut,minor,544,544
Las Plumas,-43.7167,-67.2500,Argentina,AR,Chubut,minor,480,480
Río Cuarto,-33.1230,-64.3478,Argentina,AR,Córdoba,minor,158.298,158.298
San Pedro,-33.6794,-59.6669,Argentina,AR,Buenos Aires,minor,89.2,89.2
Olivos,-34.5075,-58.4870,Argentina,AR,Buenos Aires,minor,,
General San Martín,-34.5667,-58.5333,Argentina,AR,Buenos Aires,minor,,
Lomas de Zamora,-34.7609,-58.4063,Argentina,AR,Buenos Aires,minor,,
Hurlingham,-34.5917,-58.6461,Argentina,AR,Buenos Aires,minor,,
Banda del Río Salí,-26.8333,-65.1667,Argentina,AR,Tucumán,minor,,
Ituzaingó,-34.6580,-58.6632,Argentina,AR,Buenos Aires,minor,,
Villa Nueva,-32.8972,-68.7804,Argentina,AR,Mendoza,minor,,
Chimbas,-31.4833,-68.5333,Argentina,AR,San Juan,minor,,
Tigre,-34.4204,-58.5876,Argentina,AR,Buenos Aires,minor,,
Santa Lucía,-31.5399,-68.4950,Argentina,AR,San Juan,minor,,
Belén de Escobar,-34.3333,-58.8167,Argentina,AR,Buenos Aires,minor,,
Guernica,-34.9167,-58.3833,Argentina,AR,Buenos Aires,minor,,
Rivadavia,-31.5539,-68.6525,Argentina,AR,San Juan,minor,,
Bernardo de Irigoyen,-26.2552,-53.6458,Argentina,AR,Misiones,minor,,
Yerba Buena,-26.8167,-65.3167,Argentina,AR,Tucumán,minor,,
Ensenada,-34.8619,-57.9113,Argentina,AR,Buenos Aires,minor,,
Villa Krause,-31.5833,-68.5333,Argentina,AR,San Juan,minor,,
Mar del Tuyú,-36.5753,-56.6888,Argentina,AR,Buenos Aires,minor,,
General Rodríguez,-34.6167,-58.9500,Argentina,AR,Buenos Aires,minor,,
Maipú,-32.9667,-68.7500,Argentina,AR,Mendoza,minor,,
Villa Gesell,-37.2695,-56.9845,Argentina,AR,Buenos Aires,minor,,
San Fernando,-34.4438,-58.5576,Argentina,AR,Buenos Aires,minor,,
Junín,-33.1333,-68.4667,Argentina,AR,Mendoza,minor,,
Marcos Paz,-34.7806,-58.8379,Argentina,AR,Buenos Aires,minor,,
San Isidro de Lules,-26.9228,-65.3375,Argentina,AR,Tucumán,minor,,
Tafí Viejo,-26.7333,-65.2667,Argentina,AR,Tucumán,minor,,
Palpalá,-24.2583,-65.2083,Argentina,AR,Jujuy,minor,,
El Carmen,-24.3868,-65.2618,Argentina,AR,Jujuy,minor,,
Villa Aberastain,-31.6500,-68.5833,Argentina,AR,San Juan,minor,,
San Vicente,-35.0250,-58.4228,Argentina,AR,Buenos Aires,minor,,
Aguilares,-27.4338,-65.6143,Argentina,AR,Tucumán,minor,,
Famaillá,-27.0500,-65.4000,Argentina,AR,Tucumán,minor,,
Cosquín,-31.2451,-64.4656,Argentina,AR,Córdoba,minor,,
Dolores,-30.9060,-64.5358,Argentina,AR,Córdoba,minor,,
San José,-28.3667,-65.7000,Argentina,AR,Catamarca,minor,,
Nueve de Julio,-31.6691,-68.3902,Argentina,AR,San Juan,minor,,
Concepción,-27.3428,-65.5973,Argentina,AR,Tucumán,minor,,
Monteros,-27.1674,-65.4983,Argentina,AR,Tucumán,minor,,
Capilla del Señor,-34.2921,-59.1018,Argentina,AR,Buenos Aires,minor,,
San Isidro,-28.4627,-65.7259,Argentina,AR,Catamarca,minor,,
Monte Hermoso,-38.9167,-61.5500,Argentina,AR,Buenos Aires,minor,,
Cañuelas,-35.0518,-58.7606,Argentina,AR,Buenos Aires,minor,,
Puerto Rico,-26.8169,-55.0271,Argentina,AR,Misiones,minor,,
Villa Alberdi,-27.5859,-65.6204,Argentina,AR,Tucumán,minor,,
Leandro N. Alem,-27.6000,-55.3333,Argentina,AR,Misiones,minor,,
Apóstoles,-27.9167,-55.7667,Argentina,AR,Misiones,minor,,
Alba Posse,-27.5698,-54.6826,Argentina,AR,Misiones,minor,,
Campo Grande,-27.2077,-54.9798,Argentina,AR,Misiones,minor,,
San Ignacio,-27.2559,-55.5339,Argentina,AR,Misiones,minor,,
Ramallo,-33.4833,-60.0000,Argentina,AR,Buenos Aires,minor,,
Fernández,-27.9204,-63.8935,Argentina,AR,Santiago del Estero,minor,,
Puerto Esperanza,-26.0167,-54.6500,Argentina,AR,Misiones,minor,,
San Javier,-27.8739,-55.1348,Argentina,AR,Misiones,minor,,
Santa Ana,-27.3674,-55.5809,Argentina,AR,Misiones,minor,,
Termas de Río Hondo,-27.4833,-64.8667,Argentina,AR,Santiago del Estero,minor,,
Rivadavia,-33.1833,-68.4667,Argentina,AR,Mendoza,minor,,
Bella Vista,-27.0308,-65.3032,Argentina,AR,Tucumán,minor,,
Capitán Sarmiento,-34.1724,-59.7905,Argentina,AR,Buenos Aires,minor,,
San Antonio de Areco,-34.2503,-59.4716,Argentina,AR,Buenos Aires,minor,,
San Cosme,-27.3712,-58.5121,Argentina,AR,Corrientes,minor,,
Luján de Cuyo,-33.0355,-68.8778,Argentina,AR,Mendoza,minor,,
Colón,-33.8951,-61.1011,Argentina,AR,Buenos Aires,minor,,
Brandsen,-35.1684,-58.2343,Argentina,AR,Buenos Aires,minor,,
Miramar,-38.2667,-57.8333,Argentina,AR,Buenos Aires,minor,,
Simoca,-27.2627,-65.3565,Argentina,AR,Tucumán,minor,,
San Martín,-31.4296,-68.5006,Argentina,AR,San Juan,minor,,
Arrecifes,-34.0639,-60.1036,Argentina,AR,Buenos Aires,minor,,
General Roca,-39.0280,-67.5737,Argentina,AR,Río Negro,minor,,
Bella Vista,-28.5092,-59.0401,Argentina,AR,Corrientes,minor,,
El Soberbio,-27.2985,-54.1988,Argentina,AR,Misiones,minor,,
Montecarlo,-26.5662,-54.7570,Argentina,AR,Misiones,minor,,
Quitilipi,-26.8667,-60.2167,Argentina,AR,Chaco,minor,,
Chicoana,-25.1009,-65.5331,Argentina,AR,Salta,minor,,
Salto,-34.2929,-60.2546,Argentina,AR,Buenos Aires,minor,,
San Andrés de Giles,-34.4472,-59.4445,Argentina,AR,Buenos Aires,minor,,
Oliva,-32.0416,-63.5698,Argentina,AR,Córdoba,minor,,
Santa Lucía,-28.9875,-59.1029,Argentina,AR,Corrientes,minor,,
General Las Heras,-34.9273,-58.9462,Argentina,AR,Buenos Aires,minor,,
La Cocha,-27.7773,-65.5704,Argentina,AR,Tucumán,minor,,
Villa del Rosario,-31.5566,-63.5345,Argentina,AR,Córdoba,minor,,
Federación,-31.0062,-57.8996,Argentina,AR,Entre Ríos,minor,,
Coronda,-31.9726,-60.9198,Argentina,AR,Santa Fe,minor,,
Villa San Isidro,-31.4868,-68.3254,Argentina,AR,San Juan,minor,,
San Antonio,-24.3675,-65.3347,Argentina,AR,Jujuy,minor,,
Las Rosas,-32.4766,-61.5804,Argentina,AR,Santa Fe,minor,,
Diamante,-32.0664,-60.6384,Argentina,AR,Entre Ríos,minor,,
Melincué,-33.6585,-61.4546,Argentina,AR,Santa Fe,minor,,
Clorinda,-25.2848,-57.7185,Argentina,AR,Formosa,minor,,
Santa Rosa del Conlara,-32.3429,-65.2032,Argentina,AR,San Luis,minor,,
Monte Caseros,-30.2500,-57.6500,Argentina,AR,Corrientes,minor,,
Carmen de Areco,-34.3774,-59.8239,Argentina,AR,Buenos Aires,minor,,
San Salvador,-31.6249,-58.5052,Argentina,AR,Entre Ríos,minor,,
Tupungato,-33.3715,-69.1484,Argentina,AR,Mendoza,minor,,
San Bernardo,-27.2917,-60.7083,Argentina,AR,Chaco,minor,,
Sastre,-31.7676,-61.8289,Argentina,AR,Santa Fe,minor,,
Las Breñas,-27.0897,-61.0816,Argentina,AR,Chaco,minor,,
San Agustín,-31.9768,-64.3740,Argentina,AR,Córdoba,minor,,
Concepción de la Sierra,-27.9831,-55.5203,Argentina,AR,Misiones,minor,,
San Miguel del Monte,-35.4396,-58.8067,Argentina,AR,Buenos Aires,minor,,
Machagai,-26.9167,-60.0333,Argentina,AR,Chaco,minor,,
Saladillo,-35.6371,-59.7779,Argentina,AR,Buenos Aires,minor,,
Puerto Tirol,-27.3667,-59.0667,Argentina,AR,Chaco,minor,,
Itatí,-27.2704,-58.2446,Argentina,AR,Corrientes,minor,,
Campo Largo,-26.8008,-60.8422,Argentina,AR,Chaco,minor,,
Saladas,-28.2538,-58.6259,Argentina,AR,Corrientes,minor,,
Villa Cura Brochero,-31.7058,-65.0180,Argentina,AR,Córdoba,minor,,
Rojas,-34.1953,-60.7350,Argentina,AR,Buenos Aires,minor,,
Suipacha,-34.7702,-59.6878,Argentina,AR,Buenos Aires,minor,,
Magdalena,-35.0806,-57.5130,Argentina,AR,Buenos Aires,minor,,
Navarro,-35.0056,-59.2770,Argentina,AR,Buenos Aires,minor,,
Vedia,-34.4956,-61.5414,Argentina,AR,Buenos Aires,minor,,
Burruyacú,-26.4992,-64.7421,Argentina,AR,Tucumán,minor,,
Salliqueló,-36.7522,-62.9605,Argentina,AR,Buenos Aires,minor,,
Colonia Elisa,-26.9304,-59.5186,Argentina,AR,Chaco,minor,,
La Paz,-30.7449,-59.6457,Argentina,AR,Entre Ríos,minor,,
Paso de los Libres,-29.7167,-57.0833,Argentina,AR,Corrientes,minor,,
General Arenales,-34.3026,-61.3052,Argentina,AR,Buenos Aires,minor,,
La Leonesa,-27.0379,-58.7035,Argentina,AR,Chaco,minor,,
General Belgrano,-35.7695,-58.4934,Argentina,AR,Buenos Aires,minor,,
Corzuela,-26.9333,-60.9667,Argentina,AR,Chaco,minor,,
San Pedro,-26.6221,-54.1084,Argentina,AR,Misiones,minor,,
Alberti,-35.0269,-60.2759,Argentina,AR,Buenos Aires,minor,,
Ranchos,-35.5162,-58.3173,Argentina,AR,Buenos Aires,minor,,
Mburucuyá,-28.0454,-58.2245,Argentina,AR,Corrientes,minor,,
Rosario del Tala,-32.3029,-59.1454,Argentina,AR,Entre Ríos,minor,,
Pehuajó,-35.8000,-61.9000,Argentina,AR,Buenos Aires,minor,,
Santo Tomé,-28.5500,-56.0500,Argentina,AR,Corrientes,minor,,
Gobernador Ingeniero Valentín Virasoro,-28.0500,-56.0333,Argentina,AR,Corrientes,minor,,
Carlos Casares,-35.6217,-61.3617,Argentina,AR,Buenos Aires,minor,,
Makallé,-27.2000,-59.2833,Argentina,AR,Chaco,minor,,
Nogoyá,-32.3939,-59.7895,Argentina,AR,Entre Ríos,minor,,
Roque Pérez,-35.4167,-59.3167,Argentina,AR,Buenos Aires,minor,,
Trenque Lauquen,-35.9667,-62.7000,Argentina,AR,Buenos Aires,minor,,
Tres Isletas,-26.3500,-60.4167,Argentina,AR,Chaco,minor,,
General Viamonte,-35.0001,-61.0351,Argentina,AR,Buenos Aires,minor,,
La Caldera,-24.6016,-65.3810,Argentina,AR,Salta,minor,,
Margarita Belén,-27.2667,-58.9667,Argentina,AR,Chaco,minor,,
General Pinedo,-27.3167,-61.2833,Argentina,AR,Chaco,minor,,
General José de San Martín,-26.5375,-59.3417,Argentina,AR,Chaco,minor,,
Rosario de Lerma,-24.9833,-65.5833,Argentina,AR,Salta,minor,,
Villa Media Agua,-31.9827,-68.4239,Argentina,AR,San Juan,minor,,
Empedrado,-27.9512,-58.8054,Argentina,AR,Corrientes,minor,,
La Carlota,-33.4199,-63.2977,Argentina,AR,Córdoba,minor,,
Bañado de Ovanta,-28.1000,-65.3167,Argentina,AR,Catamarca,minor,,
Graneros,-27.6493,-65.4383,Argentina,AR,Tucumán,minor,,
Concarán,-32.5601,-65.2427,Argentina,AR,San Luis,minor,,
Esquina,-30.0144,-59.5272,Argentina,AR,Corrientes,minor,,
Metán,-25.4990,-64.9739,Argentina,AR,Salta,minor,,
San Roque,-28.5746,-58.7082,Argentina,AR,Corrientes,minor,,
Coronel Vidal,-37.4460,-57.7287,Argentina,AR,Buenos Aires,minor,,
Tres Lomas,-36.4572,-62.8605,Argentina,AR,Buenos Aires,minor,,
Realicó,-35.0366,-64.2447,Argentina,AR,La Pampa,minor,,
Santa Rosa de Río Primero,-31.1523,-63.4019,Argentina,AR,Córdoba,minor,,
Pirané,-25.7167,-59.1000,Argentina,AR,Formosa,minor,,
San Luis del Palmar,-27.5079,-58.5545,Argentina,AR,Corrientes,minor,,
Las Flores,-36.0140,-59.0998,Argentina,AR,Buenos Aires,minor,,
San Carlos de Bolívar,-36.2500,-61.1000,Argentina,AR,Buenos Aires,minor,,
Villa Berthet,-27.2667,-60.4167,Argentina,AR,Chaco,minor,,
Arraga,-28.0517,-64.2239,Argentina,AR,Santiago del Estero,minor,,
Tilcara,-23.5776,-65.3509,Argentina,AR,Jujuy,minor,,
Aimogasta,-28.5609,-66.8059,Argentina,AR,La Rioja,minor,,
Villa del Totoral,-30.8167,-63.7167,Argentina,AR,Córdoba,minor,,
Verónica,-35.3880,-57.3369,Argentina,AR,Buenos Aires,minor,,
Henderson,-36.3000,-61.7167,Argentina,AR,Buenos Aires,minor,,
Pigüé,-37.6167,-62.4167,Argentina,AR,Buenos Aires,minor,,
